NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim,Topic
63e0029a0249ff1a186a12d6,8181891420,NOT SPECIFIED,84093878,1675625124122,05/02/2023 19:25:13 CST,the lindell - downtown cf studio with free parking!,en_us,83,great location,"Smoke detector beeping constantly, needed new battery.",HR_REVIEWTEXT,"Easy check-in & great location to downtown. Smoke detector beeping constantly, needed new battery. Not a big deal. TV didn't stay off for some reason but it was kind of funny. Would return to this place if hanging out in downtown Cedar Falls.",Fire
63e06a76f4b1f35d916aa4b9,8182012943,NOT SPECIFIED,76614808,1675651712086,06/02/2023 02:48:22 CST,"foxtail cabin | pet-friendly, fire pit, game room & community amenities!",en_us,83,cozy vacation in the woods,The oven set off the fire alarm every time we opened it but it was reassuring that they all worked!,HR_REVIEWTEXT,Spent a little over a month in the cabin and it was just what my family needed to relax and unwind. While it would have been nice to have a baby gate (or 2) and a crib we had a wonderful time. It was very cozy sitting in the middle of the woods. The oven set off the fire alarm every time we opened it but it was reassuring that they all worked! Greybeard’s management team was very helpful when we came to them with problems. Would be back again in a heartbeat.,Fire
63e0409725e58f7f9676a922,8181964620,NOT SPECIFIED,71725646,1675640992886,05/02/2023 23:49:43 CST,bright 1 bedroom w/private lanai- kamaole sands,en_us,83,beautiful location,From the coffee maker to the hot tub issues to fire alarms going off in the middle of the night.,HR_REVIEWTEXT,"I don't think it was the owner's problem, but we ran into several problems along the way in this property. From the coffee maker to the hot tub issues to fire alarms going off in the middle of the night. Love the grounds and the beach across the street.",Fire
63e06ed3ca34f56d83c5e598,8182014086,NOT SPECIFIED,77972778,1675652860710,06/02/2023 03:06:59 CST,hearth of tampa 1/1 amazing location/ heated pool,en_us,83,great location downtown,The smoke/carbon monoxide detector was chirping when we arrived.,HR_REVIEWTEXT,"This rental is located downtown within walking distance of the Amalie center, the River Walk and the free trolley that can easily take you to Ybor City. The unit was clean and comfortable. The smoke/carbon monoxide detector was chirping when we arrived. We easily communicated with the owner and it was fixed in no time. It would have been helpful to have information for renters on how to access the pool along with what to see and do in Tampa. We would definitely stay again!",Fire
63e01f5fd9a0ad15d01dfb63,8181921195,NOT SPECIFIED,33395954,1675632540585,05/02/2023 21:27:59 CST,"super comfortable island style condo sleeps 6, very nice!~! permit#2211-cch-0512",en_us,83,as usual a great stay!,the smoke detector battery was low which resulted in chirping,HR_REVIEWTEXT,We sure do like staying at Turtle Bay! Cathy’s place was certainly familiar to us and it helped make our trip great! I’m house laundry is sooo convenient! Check in was easy. The main toilet had trouble with refilling the tank and the smoke detector battery was low which resulted in chirping. We informed her about it and she was fixing to take care of it. The bed was plenty comfy. Windows and sliders open for a nice cross breeze. The place stayed plenty cool for us to sleep at night. Kitchen could have been better stocked with spices. Sift through some of the beach amenities to make sure they function well- both umbrellas we tried to bring with us were broken. But this is all very small stuff and we had a great time regardless! Love the North Shore!,Fire
63e0908012228c2244cdcd8c,8182057819,NOT SPECIFIED,46331564,1675661465868,06/02/2023 05:30:39 CST,your luxury escape - byron at clarkes,en_au,83,summer stay,Cobb webbs in corners almost everywhere Wasps nest at lease 4 by the front entrance of the villa Dryer was full of Lint - fire hazard,HR_REVIEWTEXT,"Hello 
A couple of things i wanted to let you know :-

Cobb webbs in corners almost everywhere
Wasps nest at lease 4 by the front entrance of the villa
Dryer was full of Lint - fire hazard

Other than that the property was just like the ad and we were happy with the accommodation.

Many thanks Thea",Fire
63e009569e702852bd6e54dd,8181894661,NOT SPECIFIED,38309707,1675626867022,05/02/2023 19:53:58 CST,grandmas house with a view!,en_us,83,very dated,This home presents a huge fire hazard with all the electrical issues.,HR_REVIEWTEXT,"Upon arriving, we found a note from the host that the furnace had quit working the day before our arrival. And the home was quite cold. When contacting the host was told I was exaggerating that the house was freezing on arrival, that it had to be at least 60 degrees downstairs & 70 upstairs. It was not near that. There was almost 10 space heaters plugged in throughout the home. And we had to also start the fire place and get the fire going with the wet wood they had. Due to all of the space heaters plugged in, it also blew a breaker. We found the breaker box, in the living room wall, covered with a piece of styrofoam and cloth as the breaker cover. The other breaker box had no cover. Several outlets & light switches were without covers. The outlets all had power strips or outlet extenders plugged into them. The downstairs had no smoke alarm and the barrel fire place down there got extremely hot. The ceiling tiles had been wet throughout and starting to fall in. The pictures are deceiving. This home presents a huge fire hazard with all the electrical issues.",Fire
63e009569e702852bd6e54dd,8181894657,NOT SPECIFIED,38309707,1675626867022,05/02/2023 19:53:58 CST,grandmas house with a view!,en_us,83,very dated,The downstairs had no smoke alarm and the barrel fire place down there got extremely hot.,HR_REVIEWTEXT,"Upon arriving, we found a note from the host that the furnace had quit working the day before our arrival. And the home was quite cold. When contacting the host was told I was exaggerating that the house was freezing on arrival, that it had to be at least 60 degrees downstairs & 70 upstairs. It was not near that. There was almost 10 space heaters plugged in throughout the home. And we had to also start the fire place and get the fire going with the wet wood they had. Due to all of the space heaters plugged in, it also blew a breaker. We found the breaker box, in the living room wall, covered with a piece of styrofoam and cloth as the breaker cover. The other breaker box had no cover. Several outlets & light switches were without covers. The outlets all had power strips or outlet extenders plugged into them. The downstairs had no smoke alarm and the barrel fire place down there got extremely hot. The ceiling tiles had been wet throughout and starting to fall in. The pictures are deceiving. This home presents a huge fire hazard with all the electrical issues.",Fire
63dfeedefdb5ca48501eea66,8181855609,NOT SPECIFIED,76781039,1675620080785,05/02/2023 18:00:36 CST,newly renovated historical mansion off st. charles,en_us,83,great house for a group,they even came out immediately when a smoke detector started beeping due to low battery,HR_REVIEWTEXT,"We came to New Orleans for a bachelorette party and had the best time at this house! There was plenty of space for 10 ladies. The house was clean, the beds were so comfortable, and the showers/bathrooms were very nice!! The space was perfect for our group and in an excellent location! The host communicated quickly, and they even came out immediately when a smoke detector started beeping due to low battery. I HIGHLY recommend this house!",Fire
63e12a72f7134d2190d56869,8182250044,NOT SPECIFIED,19177958,1675702397017,06/02/2023 16:27:29 CST,regency 423: couch to snorkeling in 6 minutes!!,en_ca,83,"lots of room, but in need of some tlc!",Property management was great at communicating with issues (chirping fire alarm).,HR_REVIEWTEXT,"The location and amenities are ideal, lots of room for a family or multiple couples. Condo was well equipped however many items clearly well used and in need of replacement/repair (dull knives, broken blender etc.), lanai light did not work, lanai sliding door required lots of fiddling to lock every time as well the blinds in ""children's"" bedroom were completely broken as well as the screens so we got quiet a few visiting bugs and creatures (geckos) and subsequent bug bites. Lots of disrepair such as broken tiles, mold on shower doors (note: sliding bath doors very challenging to bath/shower kids), and build up on sinks/tubs/facets. Pool side only plastic dishes allowed however only plastic glasses provided, no plates etc. Well equipped for kiddos (pack and play, booster seat., umbrella stroller etc.). Property management was great at communicating with issues (chirping fire alarm). Overall it was a good unit but needs some love and attention.",Fire
63e067cb965c2f51d00daadb,8182012218,NOT SPECIFIED,85978135,1675651070567,06/02/2023 02:36:59 CST,"your sweet home in kent, wa close to airport, market, dt kent！",en_us,83,lots of things wrong,There were no washcloths only one and a half rolls of toilet paper and a three bathroom house a beer had exploded in the ice maker so the ice was no good there was sticky stuff on the floor in the kitchen and in the master bathroom there was not a lid that fit the two frying pans that there were there were only four coffee cups there were no mixing bowls there was one butcher knife no toaster no remote for the TV no cable so we could not watch TV one of the smoke alarms was chirping and the owner refused to fix it no garbage bags anywhere only bar soaps in the bathrooms already used.,HR_REVIEWTEXT,There were no washcloths only one and a half rolls of toilet paper and a three bathroom house a beer had exploded in the ice maker so the ice was no good there was sticky stuff on the floor in the kitchen and in the master bathroom there wasn't a lid that fit the two frying pans that there were there were only four coffee cups there were no mixing bowls there was one butcher knife no toaster no remote for the TV no cable so we could not watch TV one of the smoke alarms was chirping and the owner refused to fix it no garbage bags anywhere only bar soaps in the bathrooms already used. The extra bedroom they said was off of the master bedroom for a child was actually a walk-in closet there was no laundry soap. There were stains on the white covered chairs. There was blood or what appeared to be blood on the light switch in the downstairs bathroom.,Fire
63e0114d04ef9034926126de,8181907814,NOT SPECIFIED,90083370,1675628887225,05/02/2023 20:27:57 CST,"high on design - brand new listing, prime dates available!",en_us,83,beautiful home,We had a few issues (no hot water in casita and fire alarm would randomly go off-1 time at 5:45am),HR_REVIEWTEXT,We had a great time in this beautiful home. We had a few issues (no hot water in casita and fire alarm would randomly go off-1 time at 5:45am) but property management company was very responsive and sent someone out right away. Listing says 4 full baths however it is 3 full baths and a 1/2 bath. We ended up making it work but would like to see them update the listing.,Fire
63e0a88d1abe9718f26dee67,8182070634,NOT SPECIFIED,76971853,1675667639764,06/02/2023 07:13:17 CST,"salmon river chalet, magical acre on the river, decks, bbq, dog-friendly",en_us,83,love it but hard to find,One of the rooms kept beeping throughout the day every half hour which we are assuming was a fire alarm needing new batteries.,HR_REVIEWTEXT,"We loved our stay here and the entire family enjoyed the entire area. It was a little bit too difficult to navigate as it got darker earlier in the day and it was pitch black when we arrived. One of the rooms kept beeping throughout the day every half hour which we're assuming was a fire alarm needing new batteries.

However it was still a great trip and we loved the labeled kitchen as we were able to cook through out the day without having to spend time searching for utensils. 
We definitely plan on returning in the future.",Fire
63e13dc3aab6436bd1590a77,8182271873,NOT SPECIFIED,67434519,1675705828627,06/02/2023 17:46:58 CST,secluded 2 story cabin in the woods,en_us,83,winter,It snowed the first night we were there and we lost power.,HR_REVIEWTEXT,It is a beautiful cabin in a beautiful in a peaceful location. It snowed the first night we were there and we lost power. the owner was as helpful as possible considering the situation. We will be back!,Electrical - Power Outage
63e101eae152ee4ecafcc17c,8182190240,NOT SPECIFIED,33968806,1675690497700,06/02/2023 13:34:34 CST,modern studio bella vita,en_us,83,simple but nice,"Had a small issue when water went off (due to island electricity issue, not host).",HR_REVIEWTEXT,"Good space for 1-2 people. Host was very accessible. Had a small issue when water went off (due to island electricity issue, not host). She was very quick to respond, sending someone immediately. View from the apartment was wonderful. Only comment is drapes could use an update",Electrical - Power Outage
63e034f655607f161ce95adf,8181950494,NOT SPECIFIED,18765794,1675638083862,05/02/2023 23:00:04 CST,secluded 2-home luxury estate on 11 acres w designer interior #relicsranch,en_us,83,busby wedding / ice storm 2023,The owners of the VRBO could have easily said we can not host you as there were so many down trees and no power.,HR_REVIEWTEXT,We faced so many challenges for this weeks wedding. The ice storm this week brought so much damage and destruction to all of central Texas. The owners of the VRBO could have easily said we can’t host you as there were so many down trees and no power. They did not. In fact they were out there cleaning up and moving limbs and trees in between the storms. They were determined to make our wedding weekend happen. They went way above and beyond by allowing us to host our rehearsal dinner at the VRBO since our wedding venue did not have power. Bex stayed in communication with me all weekend. I can’t possibly give them a high enough rating. Thank you guys so much!!! I have a happily married daughter!!!!,Electrical - Power Outage
63e13dbaf6e5d140ede56f2e,8182290040,NOT SPECIFIED,68858220,1675707940074,06/02/2023 17:45:57 CST,"hike, ski, fish or relax in hot tub. the bearhouse",en_us,83,excellent hosts,Natalie and Eric went out of their way to do everything in their power to help make the stay great.,HR_REVIEWTEXT,"We had some hiccups on this stay that were out of everyone's control. For example, prior guests had abused the propane fireplace and the hosts sent a repairman in to fix it within a couple of hours. When it couldn't be fixed they provided a stipend for firewood. Natalie and Eric went out of their way to do everything in their power to help make the stay great. Thank you!",Electrical - Power Outage
63e00629709284516505c9ac,8181893136,NOT SPECIFIED,22119145,1675626067060,05/02/2023 19:40:25 CST,spacious & cheerful pico slopeside condo - walk to lift & ski back! pico 304,en_us,83,disappointed,Power went out twice.,HR_REVIEWTEXT,"Home was very cold inside. Wind coming through door. You could see daylight through the door jams. Cable tv did not work. Power went out twice. Kitchen was not very well equipped with cooking items, baking pan, colander, potato masher, etc. Very outdated for the price. Location was great",Electrical - Power Outage
63e13423c0acd86aa701d838,8182269439,NOT SPECIFIED,60284205,1675704908496,06/02/2023 17:08:51 CST,apartment facing the sea with beach view,fr_ca,83,bon séjour,Les problèmes réguliers de manque d' eau et les pannes d' électricité fréquentes ont rendu le séjour moins agréable.,HR_REVIEWTEXT,"Appartement très confortable, ventilé et lumineux. Pas vraiment de vue sur la plage. Celle-ci était d’ailleurs envahie par les sargasses!
Les problèmes réguliers de manque d’eau et les pannes d’électricité fréquentes ont rendu le séjour moins agréable. Aussi, un lave-vaisselle aurait été un plus.
Merci à Anne-Sophie pour sa disponibilité.
Luc et Francine",Electrical - Power Outage
63e07702e97d097f9f61ad07,8182028419,NOT SPECIFIED,21703113,1675654924046,06/02/2023 03:41:54 CST,"dog-friendly cabin w/great mountain view, hot tub, air hockey, outdoor waterfall",en_us,83,poor management,Hot tub had no electricity,HR_REVIEWTEXT,"Hot tub had no electricity and I reported to Vacasa right after checking in, I also drove to local Vacasa office, Helen, GA, twice the day after checking in, they knew about my problem, and no resolution or option was offered. 
Online description didn’t mention the hot tub was not working. 
My vacation was very disappointing.",Electrical - Power Outage
63e127355b3a6723c87f7db4,8182249057,NOT SPECIFIED,42276542,1675701890926,06/02/2023 16:13:40 CST,"extravagant club wyndham nashville, 2 bedroom condo",en_us,83,great property with the exception of...,"On the last day, the state was experiencing inclement weather & power outages.",HR_REVIEWTEXT,"Upon check-in, I was told by concierge that because of Covid, the property is only starting to see more visitors and that they were only looking for feedback on our stay & the employees. I am always happy to give feedback and was willing to spend 30 minutes to do so. I was also very clear that I was not interested in any sales pitch and was assured that was not the at all what this was. They lied. The property has a very sophisticated vacation ""timeshare"" program and took two hours of my time. The only guidance I received from the Christian was to state that I was a guest of Mr. XXX"" which I did several times but that did not prevent them from the pitch. Felt as if he could have been more forthcoming with what to expect. 

On the last day, the state was experiencing inclement weather & power outages. Given the property was only at 20% capacity, I reached out to Christian to ask if we could extend our stay 24 hours until the roads cleared and was told they could not since the reservation was completed. I was given the suggestion to the front desk and ask (which I did) only to be given the off the street room rate of 3.5x what we originally paid. I was shocked and disappointed. 

I will provide a thumbs up to the condo itself. It was clean, comfortable and perfectly suited for my family.",Electrical - Power Outage
63e046a62ac8cd05c5c5ade9,8181974793,NOT SPECIFIED,34006263,1675642613757,06/02/2023 00:15:34 CST,diamond harbour hideaway,en_nz,83,loved it,"Only bad thing kitchen cupboard not clean invaded with ants had no power or spray, spent first hour cleaning out kitchen cupboard and washing all kitchen equipment thank God for dishwasher",HR_REVIEWTEXT,"Property was beautiful, well stocked with everything you needed loved it. Only bad thing kitchen cupboard not clean invaded with ants had no power or spray, spent first hour cleaning out kitchen cupboard and washing all kitchen equipment thank God for dishwasher",Electrical - Power Outage
63e12a86eca09826bf3e2fc9,8182249397,NOT SPECIFIED,34392795,1675702088450,06/02/2023 16:27:46 CST,"loft in san lorenzo, two minutes from the acquario; optional parking",it_it,83,buona soluzione vicino all'acquario,Le scale del palazzo sono molto ripide e pericolose ma dentro si sta bene.,HR_REVIEWTEXT,"La casa è vicina all'acquario e alle principali attrazioni, pulita e ben organizzata. Le scale del palazzo sono molto ripide e pericolose ma dentro si sta bene. Ok per famiglie",Accommodation
63e072a8b5e34329d01b5d4d,8182015349,NOT SPECIFIED,67333761,1675653811471,06/02/2023 03:23:20 CST,the townie - condo on dickson st - 0.5 mi to uofa,en_us,83,great little gem in the heart of the action!,"Also, lots of ice in the parking area - would have been great to have it salted as it was VERY slippery to walk on.",HR_REVIEWTEXT,"I stayed at this adorable condo when visiting my son for his fraternity moms weekend - such a great location! Super clean, comfy bed, well decorated and stocked. Greeted with a welcome note and bottle of wine! Only two things I would give feedback on - there isn’t an iron - not a deal breaker by any means but just so happened I needed one this trip. Also, lots of ice in the parking area - would have been great to have it salted as it was VERY slippery to walk on. But I’ll definitely stay here again. Lovely rental!!!",Accommodation
63e0b76a48c27f61a66a9389,8182091548,NOT SPECIFIED,34063020,1675671422727,06/02/2023 08:16:42 CST,central 2 bedrooms with balcony rue commandant andré,fr_fr,83,"bien situé, agréable mais des petites choses à revoir","Salle d' eau : une ampoule qui marche par intermittence, pas de lumière sur la glace impossible de se maquiller.",HR_REVIEWTEXT,"J'espère vivement que les petits points négatifs seront corrigés afin que je puisse revenir l'année prochaine.
Points positifs : Idéalement situé proche de tout. Accueil à l’hôtel juste à côté. Propriétaire très réactif s’il y a un problème. Pièce de vie très agréable
Bon à savoir : 2e étage sans ascenseur, 1 chbre single (6m2) et 1 alcôve (6,5m2) fermée par une porte coulissante accueillant 2 lits simples sans aucun rangement ni fenêtre.
A mon avis pour 3 adultes maximum ou 2 adultes + enfants.
Points négatifs : Petites choses pas très graves devraient être améliorée rapidement. 
Toilettes : lunette cassée, pas de brosse wc (brosse cuisine ?)
Salle d’eau : une ampoule qui marche par intermittence, pas de lumière sur la glace impossible de se maquiller. Tapis de sortie de douche à changer. 
Cuisine : trop peu de verre (3) les 2 autres pas stables sur la table (verre Coupe du monde Qatar), manque écumoire et louche et aussi des ustensiles en plastique (cuillère en bois source de bactéries), les deux grandes poêles sont à changer. Manque couvercle à la poubelle
Les 2 lits de l'alcôve sont HS.
Les serviettes de toilette mériteraient d’être renouvelées.
Il faudrait rajouter une glace (par exemple entre Wc et Sd’eau où l’on puisse se voir en entier
1 coup de peinture sur les murs serait la touche finale pour un appartement quasi parfait.",Accommodation
63e11d5ef6e5d140edce96e2,8182233938,NOT SPECIFIED,61442875,1675698515979,06/02/2023 15:31:42 CST,camp tu’wani ski-in/ski-out condo retreat big sky,en_us,83,honest review - underwhelmed,"Cons: Broken drier Broken garage door Unplowed driveway (they did not plow after a few snows and now it is just a compacted snow mess that is really challenging to drive over and treacherous to walk on) Mildewy dish towels Pots that leak (literally leak, we were boiling water and realized it was slowly seeping out the bottom) Cat hair covering all the blankets Tired construction",HR_REVIEWTEXT,"This is a fine house for a bunch of friends crashing for a few nights. You are paying for location, not quality of accommodations. Of note, this is unit #9 in the condo block. This is not listed in the check-in details and you will be left wandering around peering in windows trying to find the art that matches the listing photos until the manager calls you back. The only hint we got that we were in unit 9 was the name of the wifi network. 

There were three main issues with this property. 
1. The garage door was broken and we had to manage a service call while we were there (they fixed it in a haphazard way that required a light switch to be on in order to operate the door)
2. The dryer was broken. We were instructed that the dry mountain air is great for hang-drying. Fine, but for a week and 6 people we just had laundry hanging everywhere the entire time.  3. The management company said they had a cable person coming for a routine service, but asked us if we’d like to decline the visit. We said we’d like to decline and went on with our ski day. Later in the day I find out my mom was in the bathroom when a stranger let themselves into the house. After being super freaked out she learns it is the cable person. When pressed, the person said they used the code and let themselves in. In our opinion this was unacceptable and raises safety and security concerns. When we asked the management company to respond, they stopped responding to my messages and didn’t contact us again until they sent an automated check out message.

We’re reasonable renters and don’t expect perfection. We understand issues arise when you are staying in someone else’s home, but the combination of these three things (given the price of the rental) just amounted to too many problems and I was really disappointed that the management company ghosted us when I asked for a response. 

Pros:
3 minute walk to the poma t-bar. Location is excellent
Large mudroom where you can leave your skis and poles
Spacious bedrooms each with their own bathroom
Apple TV makes casting/music easy

Cons: 
Broken drier
Broken garage door
Unplowed driveway (they didn’t plow after a few snows and now it is just a compacted snow mess that is really challenging to drive over and treacherous to walk on)
Mildewy dish towels
Pots that leak (literally leak, we were boiling water and realized it was slowly seeping out the bottom)
Cat hair covering all the blankets 
Tired construction",Accommodation
